BusID,RouteID,Q,year,RouteDirection,DailyRides(Tuesday),WeekyRides,DailyPassengers,WeeklyPassengers,AVGCommutersPerRide(Weekly),AverageTripDuration,OperatingCostPerPassenger
643,10617,1,2024,2,11,64,203.3,1083.2,16.9,58.66,20.8
644,10619,1,2024,1,46,283,1054.5,6201.4,21.9,60.33,16.52
645,10619,1,2024,2,58,342,1255.7,7278.1,21.3,61.01,17.2
646,10621,1,2024,1,11,55,162.9,814.5,14.8,70.95,28.75
647,10621,1,2024,2,11,55,153.5,767.5,14,77.12,33.16
648,10623,1,2024,1,17,85,206.7,1033.5,12.2,63.24,31.21
649,10623,1,2024,2,14,70,98.6,493,7,66.62,56.76
650,10624,1,2024,1,0,4,0,67.3,16.8,102.35,36.5
651,10624,1,2024,2,0,4,0.1,56.7,14.2,91.86,38.88
652,10625,1,2024,1,19,95,164.4,822,8.7,47.28,32.79
653,10625,1,2024,2,18,90,119.7,598.5,6.6,43.93,39.64
654,10626,1,2024,1,8,40,25.1,125.5,3.1,39.33,75.21
655,10626,1,2024,2,8,40,18.5,92.5,2.3,43.22,112.14
656,10629,1,2024,1,0,7,0,172.8,24.7,71.33,17.34
657,10629,1,2024,2,0,8,0,183.6,23,71.47,18.68
658,10631,1,2024,1,14,78,122.6,677.1,8.7,73.22,50.61
659,10631,1,2024,2,14,78,96,535.9,6.9,64.33,56.18
660,10634,1,2024,1,3,26,72.8,542.1,20.8,104.92,30.19
661,10634,1,2024,2,3,26,44.8,400.9,15.4,92.64,36.05
662,10637,1,2024,1,0,10,0,94.4,9.4,61.28,38.95
663,10637,1,2024,2,0,9,0,120.3,13.4,57.9,25.99
664,10638,1,2024,1,0,18,0,181.5,10.1,49.61,29.52
665,10638,1,2024,2,0,13,0,140.6,10.8,43.66,24.22
666,10639,1,2024,1,0,15,0,145.9,9.7,53.67,33.11
667,10639,1,2024,2,0,9,0,141.2,15.7,46.99,17.97
668,10640,1,2024,1,23,115,644.9,3224.5,28,76.52,16.37
669,10640,1,2024,2,23,115,596.1,2980.5,25.9,78.51,18.18
670,10641,1,2024,1,35,199,844.3,4738.2,23.8,73.21,18.45
671,10641,1,2024,2,35,198,901.1,4922.3,24.9,75.16,18.14
672,10650,1,2024,1,48,240,651.6,3258,13.6,69.37,30.66
673,10650,1,2024,2,45,225,644.6,3223,14.3,67.92,28.45
674,10660,1,2024,1,1,6,3.5,24.5,4.1,163.58,240.36
675,10660,1,2024,2,1,6,10.1,59.7,10,158.84,95.78
676,10680,1,2024,1,25,138,577,2902.5,21,109.27,31.17
677,10680,1,2024,2,23,122,498.7,2501.1,20.5,99.8,29.21
678,10682,1,2024,1,1,5,5.1,25.5,5.1,68.2,80.24
679,10682,1,2024,2,1,5,22.4,112,22.4,66.71,17.87
680,10683,1,2024,1,0,1,0,41.6,41.6,138.14,19.92
681,10683,1,2024,2,0,1,0,24.7,24.7,159.9,38.84
682,10684,1,2024,1,1,5,6.7,33.5,6.7,66.01,59.11
683,10684,1,2024,2,1,5,15.3,76.5,15.3,64.37,25.24
684,10685,1,2024,1,0,2,0,0.8,0.4,99.07,1000
685,10685,1,2024,2,0,2,0,0,0,88.93,0
686,10687,1,2024,1,3,16,41.2,207.9,13,72.31,33.39
687,10687,1,2024,2,4,21,34.1,170.9,8.1,71.34,52.6
688,10688,1,2024,1,7,37,28.6,145.1,3.9,92.45,141.45
689,10688,1,2024,2,3,16,32.7,168.5,10.5,85.46,48.69
690,10689,1,2024,1,3,16,42.6,216.8,13.6,85.69,37.94
691,10689,1,2024,2,3,16,22.4,114.4,7.2,92.72,77.81
692,10690,1,2024,1,28,154,622.2,3141.6,20.4,106.41,31.3
693,10690,1,2024,2,25,134,456.9,2317.6,17.3,98.92,34.32
694,10691,1,2024,1,8,45,34.1,207.6,4.6,45.09,58.64
695,10691,1,2024,2,8,45,49.8,275.8,6.1,44.19,43.26
696,10692,1,2024,1,8,45,35.4,189.5,4.2,44.98,64.09
697,10692,1,2024,2,8,45,24.1,129.4,2.9,40.56,84.63
698,10693,1,2024,1,8,45,32,175.9,3.9,54.76,84.05
699,10693,1,2024,2,8,45,39.4,213.5,4.7,53.25,67.34
700,10694,1,2024,1,8,45,39.8,218.1,4.8,52.27,64.71
701,10694,1,2024,2,8,45,45.6,244.9,5.4,52.68,58.08
702,10695,1,2024,1,0,19,0,122.7,6.5,92.13,85.6
703,10695,1,2024,2,0,20,0,134.9,6.7,90.98,80.93
704,10703,1,2024,2,2,10,41.6,208,20.8,72.35,20.87
705,10705,1,2024,1,14,72,233.8,1221,17,37.82,13.38
706,10705,1,2024,2,15,76,233.4,1183.6,15.6,39.24,15.12
707,10706,1,2024,1,6,33,68.3,369.5,11.2,48.3,25.88
708,10706,1,2024,2,7,37,51.5,266.3,7.2,25.27,21.07
709,10708,1,2024,1,1,5,27.6,138,27.6,75.07,16.32
710,10708,1,2024,2,1,5,15.3,76.5,15.3,81.86,32.1
711,10710,1,2024,1,10,56,164.4,907,16.2,62.12,23.01
712,10710,1,2024,2,10,56,160.6,880.7,15.7,59.39,22.66
713,10716,1,2024,1,1,5,25.6,128,25.6,48.95,11.47
714,10716,1,2024,2,1,5,9.9,49.5,9.9,60.35,36.58
715,10728,1,2024,1,1,6,12.3,67.7,11.3,9.62,5.12
716,10728,1,2024,2,1,6,7.5,43.4,7.2,10.83,8.98
717,10730,1,2024,2,47,259,1486.2,8043.5,31.1,75.98,14.68
718,10740,1,2024,1,1,6,54.4,317.7,53,44.94,5.09
719,10741,1,2024,1,1,6,19.1,115.5,19.2,33.26,10.37
720,10742,1,2024,1,1,6,26.2,147.8,24.6,31.28,7.62
721,10743,1,2024,1,1,6,29.6,171.1,28.5,23.59,4.96
722,10746,1,2024,1,1,6,43,246.2,41,12.09,1.77
723,10746,1,2024,2,1,6,43.1,251.7,41.9,8.31,1.19
724,10749,1,2024,1,1,5,11,65.1,13,30.19,13.91
725,10750,1,2024,1,1,6,41.6,240.8,40.1,20.19,3.02
726,10750,1,2024,2,1,6,15.7,113.5,18.9,30.69,9.73
727,10752,1,2024,1,1,6,6.3,36.4,6.1,17.73,17.54
728,10752,1,2024,2,1,6,19.9,138.2,23,30.99,8.07
729,10753,1,2024,1,1,6,1.7,9.4,1.6,12.87,49.29
730,10753,1,2024,2,1,6,11.8,73.6,12.3,17.85,8.73
731,10754,1,2024,1,1,6,11.2,72.1,12,25.83,12.9
732,10754,1,2024,2,1,6,28.6,184.6,30.8,33.44,6.52
733,10755,1,2024,1,1,6,12.3,70.5,11.8,15.33,7.83
734,10756,1,2024,1,2,12,21,149.6,12.5,12.76,6.14
735,10757,1,2024,1,1,6,17.3,107.8,18,12.24,4.09
736,10757,1,2024,2,1,6,29.2,204.2,34,22.46,3.96
737,10758,1,2024,1,1,6,3.5,27.8,4.6,12.16,15.75
738,10758,1,2024,2,1,6,24.3,174.6,29.1,25.73,5.31
739,10759,1,2024,1,6,30,1.8,9.7,0.3,76.41,1000
740,10759,1,2024,2,6,30,2.4,12,0.4,70.31,1000
741,10760,1,2024,1,2,12,84,499.7,41.6,26.72,3.85
742,10760,1,2024,2,1,6,40.3,273.7,45.6,37.13,4.88
743,10762,1,2024,1,1,6,8.6,52,8.7,19.95,13.81
