OriginCityName,DestinationCityName,OriginCityName_Latitude,OriginCityName_Longitude,DestinationCityName_Latitude,DestinationCityName_Longitude,WeeklyPassengers,DailyPassengers,BusID,OriginDistrict,DestinationDistrict,Country
גדרה,תל אביב-יפו,31.81753,34.785103,32.066157,34.777821,296.8,22.7,5584,Central,Haifa,Israel
תל אביב-יפו,קרית עקרון,32.066157,34.777821,31.857543,34.822259,18324.4,3323.0,5585,Haifa,Central,Israel
קרית עקרון,תל אביב-יפו,31.857543,34.822259,32.066157,34.777821,17317.7,3131.9,5586,Central,Haifa,Israel
אלעד,ראש העין,32.049529,34.950751,32.095837,34.952179,2177.4,342.0,5587,Haifa,Haifa,Israel
ראש העין,אלעד,32.095837,34.952179,32.049529,34.950751,2074.8,348.4,5588,Haifa,Haifa,Israel
אלעד,ירושלים,32.049529,34.950751,31.768318,35.213711,4019.8,684.1,5589,Haifa,Jerusalem,Israel
ירושלים,אלעד,31.768318,35.213711,32.049529,34.950751,3778.8,641.8,5590,Jerusalem,Haifa,Israel
אלעד,תל אביב-יפו,32.049529,34.950751,32.066157,34.777821,871.6,165.5,5591,Haifa,Haifa,Israel
תל אביב-יפו,אלעד,32.066157,34.777821,32.049529,34.950751,690.7,132.4,5592,Haifa,Haifa,Israel
ירושלים,ירושלים,31.768318,35.213711,31.768318,35.213711,2165.4,370.9,5593,Jerusalem,Jerusalem,Israel
ירושלים,ירושלים,31.768318,35.213711,31.768318,35.213711,1757.1,308.1,5594,Jerusalem,Jerusalem,Israel
עלי,חיפה,32.071176,35.26686,32.83036,34.974339,58.3,9.6,5595,Unknown,Unknown,Israel
ראש העין,תל אביב-יפו,32.095837,34.952179,32.066157,34.777821,2030.1,385.1,5596,Haifa,Haifa,Israel
תל אביב-יפו,ראש העין,32.066157,34.777821,32.095837,34.952179,1592.9,304.5,5597,Haifa,Haifa,Israel
ראש העין,תל אביב-יפו,32.095837,34.952179,32.066157,34.777821,713.1,127.8,5598,Haifa,Haifa,Israel
תל אביב-יפו,ראש העין,32.066157,34.777821,32.095837,34.952179,596.1,105.0,5599,Haifa,Haifa,Israel
אריאל,תל אביב-יפו,32.104636,35.174515,32.066157,34.777821,3253.6,597.7,5600,Unknown,Haifa,Israel
תל אביב-יפו,אריאל,32.066157,34.777821,32.104636,35.174515,2613.4,434.9,5601,Haifa,Unknown,Israel
פתח תקווה,רמת גן,32.08404,34.887764,32.068423,34.824787,246.5,49.3,5602,Haifa,Haifa,Israel
רמת גן,פתח תקווה,32.068423,34.824787,32.08404,34.887764,290.5,58.1,5603,Haifa,Haifa,Israel
בני ברק,פתח תקווה,32.084931,34.835228,32.08404,34.887764,8848.4,1605.0,5604,Haifa,Haifa,Israel
פתח תקווה,בני ברק,32.08404,34.887764,32.084931,34.835228,18886.9,3497.4,5605,Haifa,Haifa,Israel
שעב,חיפה,32.889669,35.238766,32.83036,34.974339,102.8,18.9,5606,Northern,Unknown,Israel
חיפה,שעב,32.83036,34.974339,32.889669,35.238766,126.8,24.5,5607,Unknown,Northern,Israel
שעב,חיפה,32.889669,35.238766,32.83036,34.974339,26.3,4.5,5608,Northern,Unknown,Israel
חיפה,שעב,32.83036,34.974339,32.889669,35.238766,2.3,0.4,5609,Unknown,Northern,Israel
כאבול,חיפה,32.867506,35.213356,32.83036,34.974339,182.5,36.5,5610,Northern,Unknown,Israel
חיפה,כאבול,32.83036,34.974339,32.867506,35.213356,103.5,20.7,5611,Unknown,Northern,Israel
תל אביב-יפו,אשקלון,32.066157,34.777821,31.665944,34.559466,2799.1,453.5,5612,Haifa,Southern,Israel
אשקלון,תל אביב-יפו,31.665944,34.559466,32.066157,34.777821,2590.1,406.5,5613,Southern,Haifa,Israel
תל אביב-יפו,אשקלון,32.066157,34.777821,31.665944,34.559466,790.5,158.1,5614,Haifa,Southern,Israel
אשקלון,תל אביב-יפו,31.665944,34.559466,32.066157,34.777821,949.0,189.8,5615,Southern,Haifa,Israel
כפר מנדא,חיפה,32.812359,35.258615,32.83036,34.974339,475.4,89.6,5616,Northern,Unknown,Israel
חיפה,כפר מנדא,32.83036,34.974339,32.812359,35.258615,504.3,94.8,5617,Unknown,Northern,Israel
טמרה,כאבול,32.852246,35.201317,32.867506,35.213356,131.1,24.8,5618,Northern,Northern,Israel
כאבול,טמרה,32.867506,35.213356,32.852246,35.201317,105.2,19.6,5619,Northern,Northern,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,32.5,0.0,5620,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,44.3,0.0,5621,Jerusalem,Unknown,Israel
אשדוד,רמלה,31.80438,34.655316,31.931565,34.87294,1410.8,262.0,5622,Unknown,Central,Israel
רמלה,אשדוד,31.931565,34.87294,31.80438,34.655316,1453.4,269.6,5623,Central,Unknown,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,26.0,0.0,5624,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,45.8,0.0,5625,Jerusalem,Unknown,Israel
אשדוד,רמת גן,31.80438,34.655316,32.068423,34.824787,1238.5,244.7,5626,Unknown,Haifa,Israel
רמת גן,אשדוד,32.068423,34.824787,31.80438,34.655316,1855.0,366.8,5627,Haifa,Unknown,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,16.3,0.0,5628,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,42.3,0.0,5629,Jerusalem,Unknown,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,23.0,0.0,5630,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,35.5,0.0,5631,Jerusalem,Unknown,Israel
רחובות,בני ברק,31.892772,34.811274,32.084931,34.835228,1649.5,326.1,5632,Central,Haifa,Israel
בני ברק,רחובות,32.084931,34.835228,31.892772,34.811274,534.3,103.2,5633,Haifa,Central,Israel
רחובות,בני ברק,31.892772,34.811274,32.084931,34.835228,2309.7,394.3,5634,Central,Haifa,Israel
בני ברק,רחובות,32.084931,34.835228,31.892772,34.811274,2446.4,421.1,5635,Haifa,Central,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,7022.9,1256.7,5636,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,7311.1,1309.9,5637,Jerusalem,Unknown,Israel
דימונה,איתמר,31.069418,35.033364,32.173868,35.30803,29.5,5.9,5638,Southern,Unknown,Israel
איתמר,דימונה,32.173868,35.30803,31.069418,35.033364,30.0,6.0,5639,Unknown,Southern,Israel
מודיעין עילית,ירושלים,31.932476,35.042266,31.768318,35.213711,22.8,0.0,5640,Unknown,Jerusalem,Israel
ירושלים,מודיעין עילית,31.768318,35.213711,31.932476,35.042266,26.0,0.0,5641,Jerusalem,Unknown,Israel
בית שמש,קרית גת,31.74704,34.9881,31.611147,34.768461,104.5,0.7,5642,Unknown,Southern,Israel
